States/UTs,Year,CrimeHead,Male_below 14 years,Male_60 years & above,Male_Total,Female_below 14 years,Female_60 years & above,Female_Total,Transgender_below 14 years,Transgender_60 years & above,Transgender_Total,Grand Total
Total (States),2014,By consuming Sleeping Pills,0,40,425,5,21,263,0,0,0,688
Total (States),2014,By Drowning,226,397,4745,91,341,2656,0,0,0,7401
Total (States),2014,By Fire/Self Immolation,38,231,3512,72,392,5548,0,0,1,9061
Total (States),2014,By Firearms,1,16,325,0,7,158,0,0,0,483
Total (States),2014,By Hanging,220,2741,38021,251,679,14996,0,0,9,53026
Total (States),2014,By Poison,127,2236,22962,120,779,11039,0,0,0,34001
Total (States),2014,By Consuming Insecticides,43,1076,9767,47,401,4513,0,0,0,14280
Total (States),2014,By Consuming other Poison,84,1160,13195,73,378,6526,0,0,0,19721
Total (States),2014,By Self inflicting  Injury,7,29,341,0,7,194,0,0,0,535
Total (States),2014,By Jumping from,4,67,987,2,38,369,0,0,0,1356
Total (States),2014,Building,0,20,297,0,15,125,0,0,0,422
Total (States),2014,Other sites,2,28,332,1,15,124,0,0,0,456
Total (States),2014,By Jumping off moving trains/vehicles,2,19,358,1,8,120,0,0,0,478
Total (States),2014,By Coming under running vehicles/trains,6,279,2861,6,54,523,0,0,1,3385
Total (States),2014,By touching electric wire,24,19,597,5,6,143,0,0,0,740
Total (States),2014,By Other means,222,902,12187,243,278,5693,0,0,5,17885
Total (UTs),2014,By consuming Sleeping Pills,0,3,18,0,0,8,0,0,0,26
Total (UTs),2014,By Drowning,2,2,20,0,0,5,0,0,0,25
Total (UTs),2014,By Fire/Self Immolation,0,2,33,1,1,28,0,0,0,61
Total (UTs),2014,By Firearms,0,0,21,0,0,3,0,0,0,24
Total (UTs),2014,By Hanging,15,69,1389,17,27,635,0,0,0,2024
Total (UTs),2014,By Poison,0,11,166,2,1,87,0,0,0,253
Total (UTs),2014,By Consuming Insecticides,0,5,39,1,0,22,0,0,0,61
Total (UTs),2014,By Consuming other Poison,0,6,127,1,1,65,0,0,0,192
Total (UTs),2014,By Self inflicting  Injury,0,0,22,0,0,9,0,0,0,31
Total (UTs),2014,By Jumping from,0,3,26,0,2,26,0,0,0,52
Total (UTs),2014,Building,0,2,12,0,2,22,0,0,0,34
Total (UTs),2014,Other sites,0,0,2,0,0,2,0,0,0,4
Total (UTs),2014,By Jumping off moving trains/vehicles,0,1,12,0,0,2,0,0,0,14
Total (UTs),2014,By Coming under running vehicles/trains,0,0,1,0,0,1,0,0,0,2
Total (UTs),2014,By touching electric wire,0,0,7,0,0,5,0,0,0,12
Total (UTs),2014,By Other means,7,60,463,6,21,132,0,0,0,595
Total (All India),2014,By consuming Sleeping Pills,0,43,443,5,21,271,0,0,0,714
Total (All India),2014,By Drowning,228,399,4765,91,341,2661,0,0,0,7426
Total (All India),2014,By Fire/Self Immolation,38,233,3545,73,393,5576,0,0,1,9122
Total (All India),2014,By Firearms,1,16,346,0,7,161,0,0,0,507
Total (All India),2014,By Hanging,235,2810,39410,268,706,15631,0,0,9,55050
Total (All India),2014,By Poison,127,2247,23128,122,780,11126,0,0,0,34254
Total (All India),2014,By Consuming Insecticides,43,1081,9806,48,401,4535,0,0,0,14341
Total (All India),2014,By Consuming other Poison,84,1166,13322,74,379,6591,0,0,0,19913
Total (All India),2014,By Self inflicting  Injury,7,29,363,0,7,203,0,0,0,566
Total (All India),2014,By Jumping from,4,70,1013,2,40,395,0,0,0,1408
Total (All India),2014,Building,0,22,309,0,17,147,0,0,0,456
Total (All India),2014,Other sites,2,28,334,1,15,126,0,0,0,460
Total (All India),2014,By Jumping off moving trains/vehicles,2,20,370,1,8,122,0,0,0,492
Total (All India),2014,By Coming under running vehicles/trains,6,279,2862,6,54,524,0,0,1,3387
Total (All India),2014,By touching electric wire,24,19,604,5,6,148,0,0,0,752
Total (All India),2014,By Other means,229,962,12650,249,299,5825,0,0,5,18480
